nrCrt,Denumire agent economic,cod unic de inregistrare
462,DOR PRODCOM 96 SRL,RO8175644
463,DORIAN SHOP SRL,RO38392831
464,DORIFLOR SRL,RO15910179
465,DORIN SERV SPEDITION,RO31274472
466,DORNA TURISM S.A.,RO742395
467,DOROFTEI CORINA GABRIELA INTREPRINDERE INDIVIDUALA,RO9964808
468,DOSA DANIEL VET SRL,28269239
469,DOVA & PORUT SRL,RO1384112
470,Dragan Gigi,26886815
471,DRAGAN SERGIU I.I,37340206
472,Draghia DragoÈ intreprindere individuala,38734497
473,DRAGOMON S.R.L,RO17609408
474,DRAGON  IMPEX SRL,RO4373550
475,Dragopub Suyram,33478959
476,DRAGOS DOLII SRL,37800606
477,DRAGU DUMITRA INTREPRINDERE INDIVIDUALA,35675248
478,dragus radu,32210434
479,Dragusin Constantina,RO7539178
480,Drinsoph SRL,RO37916075
481,DRUTA MIRCEA DANUT II,36199819
482,DUCA FLORICA II,36211904
483,DUMAREX SRL,RO6051712
484,Dumchi Net SRL,RO24476479
485,DUMI FUN SRL,31580064
486,Dumitru Alexandru Aurelian PFA,32333470
487,Dumitru I Mihaela Gabriela Intreprindere Individuala,RO32815428
488,DUMITRU I MIRCEA INTREPRINDERE INDIVIDUALA,26169411
489,DUMITRU JEAN ASOCIATIE FAMILIALA,14851880
490,Duo Select Impex SRL,RO7742260
491,Durliscau Libra SRL,RO5657061
492,DUTA I. PETRE INTREPRINDERE FAMILIALA,RO20705910
493,DUÈU V. ANA-CRISTINA II,40895436
494,DVD Master srl,RO15879480
495,DYM PANDY 24 SRL,RO35964092
496,EASY COFFEE SRL,RO33150586
497,EBCO STORE S.R.L.,40026336
498,ECEBBA SRL,RO13824250
499,ECO CRIS OIL & GAS SRL,RO33801633
500,ECO SELECT SRL,RO35398023
501,EDCOM SRL,8868551
502,EDEL BOUTIQUE SRL,RO39417586
503,EDEL WAISS COMERCIAL 58,32867370
504,EDILIZIA BLU SRL,21535880
505,EDISON OIL,RO32712392
506,EDNICO FUELL SRL PLOIESTI,RO24471838
507,EGMA DELTA COM S.R.L.,RO9937080
508,ELA COM 2008 SRL,RO24506120
509,ELA INTER CONSULTING SRL,27928692
510,ELA PLUS CENTER SRL,30070130
511,ELACRIS SRL,18424513
512,ELECTROCOM CRISAN SRL,RO10553610
513,ELEGANT ELENA,34245170
514,elenicost ral mt,RO34823435
515,ELLEN RAISA MARIA SRL,RO39703790
516,elmi com srl,RO0265415
517,ELMIRIC CREATIV SRL,RO21049945
518,Ema Lora SRL,36389856
519,EMA SIN S.R.L.,RO2800476
520,EMI-FRUCT SRL,RO31015710
521,EMPORIA BLUE S.R.L.,RO27998760
522,ENACHI  N FLORENTINA,29109414
523,Ene V Razvan-Daniel Persoana Fizica Autorizata,RO31985025
524,Enizol,15795665
525,ERI COMPANY SRL,RO24810462
526,ERNESTO LOUNGE SRL,RO28569589
527,ESSENTIAL TRADE MARKETING SRL,RO27995780
528,Est Oil Consulting SRL,RO31278903
529,ESTETIC REID,27684300
530,EUM TRANSIMPEX SRL,RO6680240
531,EURO ALEX COM SRL,RO24467489
532,EURO-MAR SRL,RO14696558
533,Euromaster SRL,RO6896865
534,EVA IMPEX SRL,RO2968195
535,EVA MIXT ORIGINAL SRL,RO38235985
536,EVERY SOLUTION SRL,RO32032930
537,Evita Euro Trading SRL,RO9533872
538,EXCENTRIC GROUP SRL,RO13735152
539,EXIMCOM VALENTINO 94 SRL,RO1116241
540,EXPEDIMENTALIST SRL,RO31393864
541,Explo Tincu,35513955
542,EXPRES MARYDANY SRL,32162582
543,EXPRES POMUL VERDE SRL,216994
544,EXPRESS CAFFE SRL,RO24238108
545,Fa-kucko.srl,RO37969509
546,fabiano com,RO7626789
547,FAGASI DORINA PERSOANA FIZICA AUTORIZATA,21037142
548,Fanely,RO4894566
549,fast comex 93 srl,RO435790
550,FEDERALCOOP SATU MARE SOCIETATE COOPERATIVAA,RO647334
551,"FEDERALCOOP VASLUI, SOCIETATE COOPERATIVA DE GRADUL 1",RO826232
552,"FEHER IULIANA ""FEHER IULIANA""PERSOANA FIZICA AUTORIZATA",20876294
553,FEJER MAG,31646428
554,Felix Com 94 Srl,RO5522315
555,FELYVISS SRL,RO15904231
556,FILDENIS,RO15526691
557,FILIP ROBERTO INTREPRINDERE INDIVIDUALA,32789566
558,FIVE FOX SRL,38304074
559,FLACARA ROSIE ALCOM SRL,5274589
560,FLEISCHPARY SRL,RO25753748
561,FLENCHIA LUMINITA INTREPRINDERE INDIVIDUALA,RO31309694
562,Floca Claudiu,33638910
563,Flor Intercreativ S.R.L.,RO36920787
564,Florea Elena,RO29141350
565,FLOREA STELUTA PERSOANA FIZICA AUTORIZATA,24610316
566,Floricescu Gheorghita Doina,37833778
567,FLOROAN SRL,35232682
568,Flower S G U     SRL,RO28400511
